 Macau (China),"21,000","54,000","704,150",33,13,
 Monaco,"18,000","47,000","36,298",2,0.77,[3]
 Singapore,"8,250","21,400","6,014,723",729,281,
 Hong Kong (China),"6,725","17,420","7,491,609","1,114",430,
 Gibraltar (UK),"4,800","12,000","32,688",6.8,2.6,[4]
 Bahrain,"1,910","4,900","1,485,510",778,300,
 Maldives,"1,750","4,500","523,787",300,120,
 Malta,"1,700","4,400","535,065",315,122,
 Vatican City,"1,600","4,100",764,0.49,0.19,[b]
 Sint Maarten (NL),"1,300","3,400","44,222",34,13,
 Bermuda (UK),"1,200","3,100","64,069",54,21,
 Bangladesh,"1,165","3,020","172,954,319","148,460","57,320",
 Guernsey (UK),990,"2,600","63,544",64,25,
 Jersey (UK),964,"2,500","111,803",116,45,
 Mayotte (France),913,"2,360","335,995",368,142,
 Palestine,892,"2,310","5,371,230","6,020","2,320",[c]
 Taiwan,676,"1,750","23,923,277","35,410","13,670",
 Mauritius,657,"1,700","1,300,557","1,979",764,
 Barbados,654,"1,690","281,996",431,166,
 Nauru,610,"1,600","12,780",21,8.1,
 Saint Martin (France),610,"1,600","32,077",53,20,
 Aruba (NL),590,"1,500","106,277",180,69,
 San Marino,550,"1,400","33,642",61,24,
 Rwanda,535,"1,390","14,094,683","26,338","10,169",
 South Korea,516,"1,340","51,784,059","100,413","38,770",
 Lebanon,512,"1,330","5,353,930","10,452","4,036",
 Saint Barthélemy (France),500,"1,300","10,994",22,8.5,
 Burundi,476,"1,230","13,238,559","27,834","10,747",
 Tuvalu,440,"1,100","11,396",26,10,
 India,435,"1,130","1,428,627,663","3,287,263","1,269,219",
 Curaçao (NL),433,"1,120","192,077",444,171,
 Netherlands,424,"1,100","17,618,299","41,543","16,040",
 Haiti,423,"1,100","11,724,764","27,750","10,710",
 Israel,416,"1,080","9,174,520","22,072","8,522",
 Réunion (France),391,"1,010","981,796","2,510",970,
 Philippines,391,"1,010","117,337,368","300,000","120,000",
 Belgium,383,990,"11,686,140","30,528","11,787",
 Comoros,381,990,"852,075","2,235",863,
 Puerto Rico (US),368,950,"3,260,314","8,868","3,424",
 Grenada,366,950,"126,184",345,133,
 Martinique (France),337,870,"366,981","1,090",420,
 Sri Lanka,334,870,"21,893,579","65,610","25,330",
 Japan,326,840,"123,294,513","377,930","145,920",
 Guam (US),320,830,"172,952",541,209,
 El Salvador,303,780,"6,364,943","21,041","8,124",
 Pakistan,302,780,"240,485,658","796,095","307,374",
 Trinidad and Tobago,299,770,"1,534,937","5,127","1,980",
 Vietnam,298,770,"98,858,950","331,340","127,930",
 Saint Lucia,293,760,"180,251",616,238,
 U.S. Virgin Islands (US),285,740,"98,750",347,134,
 United Kingdom,277,720,"67,736,802","244,376","94,354",
 Saint Vincent and the Grenadines,267,690,"103,699",389,150,
 Cayman Islands (UK),263,680,"69,310",264,102,
 Jamaica,257,670,"2,825,544","10,991","4,244",
 Luxembourg,253,660,"654,768","2,586",998,
 Liechtenstein,247,640,"39,585",160,62,
 Gambia,246,640,"2,773,168","11,295","4,361",
 Nigeria,242,630,"223,804,632","923,768","356,669",
 Kuwait,242,630,"4,310,108","17,818","6,880",
 Guadeloupe (France),242,630,"395,839","1,639",633,
 São Tomé and Príncipe,241,620,"231,856",964,372,
 Seychelles,236,610,"107,660",457,176,
 Qatar,233,600,"2,716,391","11,637","4,493",
 Germany,233,600,"83,294,633","357,581","138,063",
 Dominican Republic,233,600,"11,332,973","48,671","18,792",
 Marshall Islands,232,600,"41,996",181,70,
 Malawi,221,570,"20,931,751","94,552","36,507",
 American Samoa (US),221,570,"43,915",199,77,
 North Korea,217,560,"26,160,822","120,538","46,540",
 Antigua and Barbuda,213,550,"94,298",442,171,
 Switzerland,213,550,"8,796,669","41,291","15,943",
 Nepal,210,540,"30,896,590","147,181","56,827",
 British Virgin Islands (UK),209,540,"31,538",151,58,
 Uganda,201,520,"48,582,334","241,550","93,260",
 Italy,195,510,"58,870,763","302,068","116,629",
 Kiribati,184,480,"133,515",726,280,
 Saint Kitts and Nevis,183,470,"47,755",261,101,
 Anguilla (UK),175,450,"15,900",91,35,
 Andorra,171,440,"80,088",468,181,
 Guatemala,166,430,"18,092,026","108,889","42,042",
 Micronesia,164,420,"115,224",702,271,
 Togo,159,410,"9,053,799","56,785","21,925",
 Tokelau (NZ),158,410,"1,893",12,4.6,
 Kosovo,153,400,"1,663,595","10,905","4,210",
 China,149,390,"1,425,671,352","9,600,000","3,700,000",
 Cape Verde,148,380,"598,682","4,033","1,557",
 Isle of Man (UK),148,380,"84,710",572,221,
 Indonesia,145,380,"277,534,123","1,910,931","737,815",
 Tonga,144,370,"107,773",747,288,
 Ghana,143,370,"34,121,985","238,537","92,100",
 Thailand,140,360,"71,801,279","513,140","198,120",
 Denmark,138,360,"5,910,913","42,947","16,582",
 Cyprus,136,350,"1,260,138","9,251","3,572",
 United Arab Emirates,134,350,"9,516,871","71,024","27,423",
 Transnistria,134,350,"468,980","3,510","1,360",[9]
 Czech Republic,133,340,"10,495,295","78,871","30,452",
 Jordan,127,330,"11,337,053","89,318","34,486",
 Syria,125,320,"23,227,014","185,180","71,500",
 Sierra Leone,122,320,"8,791,092","72,300","27,900",
 Poland,120,310,"37,691,000","313,931","121,209",[d]
 Azerbaijan,120,310,"10,412,652","86,600","33,400",
 Benin,119,310,"13,712,828","114,763","44,310",
 Slovakia,118,310,"5,795,199","49,035","18,933",
 France (metropolitan),117,300,"64,756,584","551,500","212,900",
 Ethiopia,115,300,"126,527,060","1,104,300","426,400",
 Egypt,112,290,"112,716,599","1,002,000","387,000",
 Portugal,111,290,"10,247,605","92,225","35,608",
 Turkey,110,280,"85,816,199","783,562","302,535",
 Hungary,109,280,"10,156,239","93,025","35,917",
 Northern Mariana Islands (US),109,280,"49,796",457,176,
 Austria,107,280,"8,958,961","83,878","32,385",
 Iraq,105,270,"45,504,560","435,052","167,975",
 Slovenia,105,270,"2,119,675","20,273","7,827",
